id;cod_iso_pays;lib_pays;code_devise_pays
1;AFG;Afghanistan;AFG  
2;ALB;Albanie;ALB  
3;ATA;Antarctique;ATA  
4;DZA;Algérie;DZA  
5;ASM;Samoa Américaines;ASM  
6;AND;Andorre;AND  
7;AGO;Angola;AGO  
8;ATG;Antigua-et-Barbuda;ATG  
9;AZE;Azerbaïdjan;AZE  
10;ARG;Argentine;ARG  
11;AUS;Australie;AUS  
12;AUT;Autriche;AUT  
13;BHS;Bahamas;BHS  
14;BHR;Bahreïn;BHR  
15;BGD;Bangladesh;BGD  
16;ARM;Arménie;ARM  
17;BRB;Barbade;BRB  
18;BEL;Belgique;BEL  
19;BMU;Bermudes;BMU  
20;BTN;Bhoutan;BTN  
21;BOL;Bolivie;BOL  
22;BIH;Bosnie-Herzégovine;BIH  
23;BWA;Botswana;BWA  
24;BVT;Île Bouvet;BVT  
25;BRA;Brésil;BRA  
26;BLZ;Belize;BLZ  
27;IOT;Territoire Britannique de l'Océan Indien;IOT  
28;SLB;Îles Salomon;SLB  
29;VGB;Îles Vierges Britanniques;VGB  
30;BRN;Brunéi Darussalam;BRN  
31;BGR;Bulgarie;BGR  
32;MMR;Myanmar;MMR  
33;BDI;Burundi;BDI  
34;BLR;Bélarus;BLR  
35;KHM;Cambodge;KHM  
36;CMR;Cameroun;CMR  
37;CAN;Canada;CAN  
38;CPV;Cap-vert;CPV  
39;CYM;Îles Caïmanes;CYM  
40;CAF;République Centrafricaine;CAF  
41;LKA;Sri Lanka;LKA  
42;TCD;Tchad;TCD  
43;CHL;Chili;CHL  
44;CHN;Chine;CHN  
45;TWN;Taïwan;TWN  
46;CXR;Île Christmas;CXR  
47;CCK;Îles Cocos (Keeling);CCK  
48;COL;Colombie;COL  
49;COM;Comores;COM  
50;MYT;Mayotte;MYT  
51;COG;République du Congo;COG  
52;COD;République Démocratique du Congo;COD  
53;COK;Îles Cook;COK  
54;CRI;Costa Rica;CRI  
55;HRV;Croatie;HRV  
56;CUB;Cuba;CUB  
57;CYP;Chypre;CYP  
58;CZE;République Tchèque;CZE  
