id;lib_agence;adresse_agence;contact_agence
1;Home synthesize;Chair encryption Jewelery;hacking
2;Handcrafted;data-warehouse system;Table Dobra
3;Developer Supervisor;function;Chair payment
4;Principal;hack invoice haptic;West Virginia extend
5;Global frame;Brunei Dollar Ergonomic Kids;New Hampshire
6;Enterprise-wide override Refined Wooden Towels;Auto Loan Account;Washington
7;granular Dynamic;pixel action-items;Coordinator Home envisioneer
8;Nevada Advanced;Tasty Rubber Gloves Officer;Director navigate moratorium
9;Handmade Product payment;RSS ubiquitous TCP;Forward
10;next-generation;facilitate Soft Senior;Savings Account
