id;media_type;media_url;mediacontent;mediacontent_content_type
1;TEXT;Cuban Peso Peso Convertible efficient New Hampshire;../fake-data/blob/hipster.png;image/png
2;VIDEO;invoice backing up composite;../fake-data/blob/hipster.png;image/png
3;IMAGE;mindshare Mississippi;../fake-data/blob/hipster.png;image/png
4;TEXT;multi-byte Metal;../fake-data/blob/hipster.png;image/png
5;IMAGE;frame black circuit;../fake-data/blob/hipster.png;image/png
6;TEXT;COM reboot;../fake-data/blob/hipster.png;image/png
7;VIDEO;intuitive;../fake-data/blob/hipster.png;image/png
8;VIDEO;Auto Loan Account invoice;../fake-data/blob/hipster.png;image/png
9;TEXT;Shore Cambridgeshire;../fake-data/blob/hipster.png;image/png
10;TEXT;Gibraltar viral;../fake-data/blob/hipster.png;image/png
