id;description;adresse;lattitude;longitude;montant_t_tc
1;compress Berkshire;empower infrastructures;98332;24619;84304
2;transmitter Avon Senior;partnerships redundant;39370;7789;79088
3;input Computers Face to face;technologies Licensed migration;64678;13173;89536
4;Identity withdrawal Guyana Dollar;SAS panel Mouse;71117;29425;35614
5;Product;channels;69771;20413;2524
6;optimal metrics responsive;Interactions RSS;65868;13342;91613
7;online Qatari Rial;port South Georgia and the South Sandwich Islands Pennsylvania;60426;93451;54871
8;Auto Loan Account Cambridgeshire system engine;eyeballs;37645;83625;93800
9;RAM Roads;Berkshire Concrete overriding;73852;13852;5488
10;paradigms;Cambridgeshire impactful;13521;66114;52652
