id;libelle_hotel;classe_hotel;adresse;lattitude;longitude
1;encompassing;81916;Lead Reduced;39866;64669
2;Terrace Swaziland Identity;94058;TCP;22847;61155
3;Awesome Licensed Soft Gloves markets;11223;Isle toolset deposit;8483;90905
4;Sports cross-media California;6644;Global Tuna;72004;17645
5;connecting green;2081;driver Brand Pula;16585;82479
6;CSS;20137;microchip Neck CSS;8447;28365
7;Awesome;27439;silver Steel digital;65705;73164
8;Intelligent Wooden Bacon Norwegian Krone;20901;Fresh;53947;42489
9;Saudi Arabia Analyst;29774;Progressive value-added Devolved;99739;76262
10;Fantastic Utah Director;99339;Identity;87844;11452
