id;media_url;media_type;mediacontent;mediacontent_content_type
1;Guinea;AUDIO;../fake-data/blob/hipster.png;image/png
2;Chile Supervisor;IMAGE;../fake-data/blob/hipster.png;image/png
3;Director open-source South Carolina;VIDEO;../fake-data/blob/hipster.png;image/png
4;National Health wireless;TEXT;../fake-data/blob/hipster.png;image/png
5;Som Brand Buckinghamshire;AUDIO;../fake-data/blob/hipster.png;image/png
6;real-time white Ball;AUDIO;../fake-data/blob/hipster.png;image/png
7;Frozen Soft Paradigm;IMAGE;../fake-data/blob/hipster.png;image/png
8;SQL system leading-edge;AUDIO;../fake-data/blob/hipster.png;image/png
9;withdrawal Credit Card Account;TEXT;../fake-data/blob/hipster.png;image/png
10;Mouse;TEXT;../fake-data/blob/hipster.png;image/png
