id;cod_iso_pays;lib_pays;code_devise_pays
1;Outdoors Multi-channelled;Cambridgeshire;applications navigate
2;Metal Neck monitoring;Concrete;copying context-sensitive connecting
3;Ranch Dynamic;synthesizing Small Rubber Sausages transition;RSS back up
4;Practical Personal Loan Account;Engineer Lights Pennsylvania;bypassing Licensed Frozen Shirt
5;Gourde US Dollar Re-contextualized Re-contextualized;Nebraska AGP;Bolivar Fuerte
6;Credit Card Account;circuit;Barbados Dollar
7;Chips;superstructure;Fully-configurable fault-tolerant
8;alarm bypass;input embrace;Bacon
9;Indiana;CSS California;Sudan stable Sleek Rubber Chips
10;wireless virtual calculating;Officer Director Developer;multi-byte e-services
