id;date_debut;date_fin;nombre_adulte;nombre_jeune;nombre_enfant;montant_total_ttc;lib_devise
1;2020-08-11;2020-08-11;75709;33400;76242;35209;Architect Yuan Renminbi
2;2020-08-11;2020-08-11;47616;85374;30407;98201;Kenya
3;2020-08-11;2020-08-11;83240;77348;76583;92347;parsing Sleek
4;2020-08-11;2020-08-11;49891;79672;43128;58984;white Fantastic Rubber Ball connecting
5;2020-08-11;2020-08-11;67013;79550;41148;94154;open-source green Home Loan Account
6;2020-08-11;2020-08-11;10150;34723;2317;86659;Computer
7;2020-08-11;2020-08-11;98693;61665;77780;80604;Metrics matrix magnetic
8;2020-08-12;2020-08-11;84342;39548;64590;48941;Auto Loan Account generating Operative
9;2020-08-11;2020-08-11;40815;51439;20612;31471;Multi-lateral Cook Islands driver
10;2020-08-11;2020-08-11;60115;69144;98038;75848;leverage Flat Borders
