id;media_url;media_type;mediacontent;mediacontent_content_type
1;District Maine Liaison;VIDEO;../fake-data/blob/hipster.png;image/png
2;Identity;VIDEO;../fake-data/blob/hipster.png;image/png
3;Coordinator Fresh;AUDIO;../fake-data/blob/hipster.png;image/png
4;Keyboard XML aggregate;IMAGE;../fake-data/blob/hipster.png;image/png
5;Fresh Organic fuchsia;AUDIO;../fake-data/blob/hipster.png;image/png
6;Skyway metrics;IMAGE;../fake-data/blob/hipster.png;image/png
7;CSS;AUDIO;../fake-data/blob/hipster.png;image/png
8;Director Gorgeous Buckinghamshire;AUDIO;../fake-data/blob/hipster.png;image/png
9;programming;IMAGE;../fake-data/blob/hipster.png;image/png
10;content-based;VIDEO;../fake-data/blob/hipster.png;image/png
